,text,negative&positive,depression
21,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
22,rt ellevogueandme realdonaldtrump this is on you and on your watch  you can escape and blame whosoever you want assad syria httpst,[ 0.89185274  0.10814723],negative
23,rt abcnews24 at least 58 people have died in a suspected chemical weapons attack in syria is the syrian govt responsible joeabcnews,[ 0.89185274  0.10814723],negative
24,rt amotevalli for 5 years world leaders have condemned war crimes happening in syria  guess what condemnations wont do a damn thin,[ 0.89185274  0.10814723],negative
25,i have too many feelings to happily exist in this world syria,[ 0.39086604  0.60913396],positive
26,i partially agree with that statement but it was not really us business to interfere in foreign affairs of indepe httpstcoir3yesiqoq,[ 0.39086604  0.60913396],positive
27,false flag something is not adding up in idlib chemical weapons attack syria  httpstcoopd1etrdxm,[ 0.02835219  0.97164786],positive
28,rt peterdaou obama isnt president the toughtalkers can show us how they respond to atrocities in syria httpstco1mz1mrsz5x,[ 0.89185274  0.10814723],negative
29,rt joyce_karam front pages of 2 major arab newspapers tom syria cw massacre defies world tests trump httpstcoa55dk7cvj4,[ 0.89185274  0.10814723],negative
30,"rt fsaplatform breaking  syria

fsa statement worlds conscience is sleeping empowering the regime to commit crimes which are a di",[ 0.89185274  0.10814723],negative
31,rt partisangirl if syria still had sarin wouldnt they have used it on isis in palmyra in order to keep the artifacts intact,[ 0.89185274  0.10814723],negative
32,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
33,rt sjredmond somehow i dont think that the last words of the people killed in syria were damn you obama time for potus to do his job,[ 0.89185274  0.10814723],negative
34,rt iv1vi in coordination with assad regime hezbollah smuggled huge amounts of chemical weapons from syria amp stored it in n beqaa of,[ 0.89185274  0.10814723],negative
35,rt ajenglish how chlorine gas became a weapon in syrias civil war httpstcommuxufpzrr httpstco1vdmdsxsve,[ 0.89185274  0.10814723],negative
36,rt cov_bhoy guardian guardian front page fakenews debunked syria httpstcon7xfblsit8,[ 0.89185274  0.10814723],negative
37,"rt maytham956 terrorist mohammed alloush is not a gas expert he is just one of the participants in the crime
idlib syria httpstco",[ 0.89185274  0.10814723],negative
38,rt nia4_trump death toll in syria now reportedly over 100 in 2013 the us backed rebels used sarin gas as a falseflag in attempt to,[ 0.89185274  0.10814723],negative
39,rt hopesarout syrian people are dying and the world is silentwhere are the human rights defenders redlines syria httpstco4iqslrv,[ 0.89185274  0.10814723],negative
40,"rt fsaplatform breaking  syria

statement these crimes are a stain on the forehead of humanity whose failure to act allows regime to",[ 0.89185274  0.10814723],negative
41,"rt specialreport suspected syria chemical attack
1687 days after obama red line comment
4 days after sec tillerson says http",[ 0.89185274  0.10814723],negative
42,"rt maytham956 terrorist mohammed alloush is not a gas expert he is just one of the participants in the crime
idlib syria httpstco",[ 0.89185274  0.10814723],negative
43,rt sjredmond somehow i dont think that the last words of the people killed in syria were damn you obama time for potus to do his job,[ 0.89185274  0.10814723],negative
44,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
45,rt wsvn chemical attack kills dozens in syria us blames president assad httpstcod44gx02clz httpstco4sdbrqqvzo,[ 0.89185274  0.10814723],negative
46,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
47,rt politics_pr syria and trump hypocrisy blaming syrian chemical attack on obama httpstcovhy9nycdcu tcot maga httpstcopaltt,[ 0.89185274  0.10814723],negative
48,"rt peterdaou only evil monsters intentionally use these gruesome weapons let alone against children 
syria httpstcoktlclkloa4",[ 0.89185274  0.10814723],negative
49,rt faisalalmutar syria we failed you,[ 0.89185274  0.10814723],negative
50,"rt iadtawil thread
idlibattack idlib khansheikhoun syriachemicalattack syriagasattack syria httpstcoo4a4xzzcaj",[ 0.89185274  0.10814723],negative
51,"rt joeeenglish unicefs anthony lake on reports of chemical weapons attacks on children and families in syria
httpstcofxmcdnvw82 c",[ 0.89185274  0.10814723],negative
52,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
53,"rt hamletgarcia17 children should never pay for the mistakes of adults syria     
realdonaldtrump revjjackson un usembassysyria bas",[ 0.89185274  0.10814723],negative
54,"rt fsaplatform syria  idlib

dr hariri the regime killed 100s of womenampchildren in khan sheikhoun attack is there hope of interna",[ 0.89185274  0.10814723],negative
55,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
56,"rt thisisgaza he little promised much
too soon untied
he only dreamt he lived
 and then he died
idlib syria 
_ httpst",[ 0.89185274  0.10814723],negative
57,rt lsarsour the images out of syria are horrific but so were the images for the past 5 years we turned a blind eye we have become num,[ 0.89185274  0.10814723],negative
58,rt maryellenlocker history shows us that we will never learn from history syria holocaust genocide,[ 0.89185274  0.10814723],negative
59,obama tried 2 help syria congress say no as did britain 4 despicable fake prez 2 blame him 4 this is a blatant disregard of truth as usual,[ 0.20774333  0.79225659],positive
60,rt stillbernin interesting sarin attack in syria was a top moment on twitter until people started tweeting about hrc selling sarin t,[ 0.89185274  0.10814723],negative
61,rt partisangirl if syria still had sarin wouldnt they have used it on isis in palmyra in order to keep the artifacts intact,[ 0.89185274  0.10814723],negative
62,rt lordrenet socalled syria rebels are fleas paid with us currency versed in spreading us lies and committed to advocating us atroc,[ 0.89185274  0.10814723],negative
63,rt americanluvsong susanriceunmasked syria maga syria benghazi realdonaldtrump potus donaldjtrumpjr sebgorka docmurdock jimchil,[ 0.89185274  0.10814723],negative
64,syria parttime jihadist parttime doctor    httpstcodhoar30l4m,[ 0.36721578  0.63278425],positive
65,realdonaldtrump will do nothing about syria except the usual  lie and blame others  impeachtrump fakepotus stepaside gopfail,[ 0.89185274  0.10814723],negative
66,rt michaelcastner with realdonaldtrump its always somebody elses faultresponsibility trumprussia syria httpstcoeguu5x3sjd,[ 0.89185274  0.10814723],negative
67,rt shepnewsteam realdonaldtrump blames assad and obamaadmin for attack in syria and tillerson says russia and iran bear great mo,[ 0.89185274  0.10814723],negative
68,un any country that does not intervene to stop the syria atrocity are as liable killing children as assad ukpolitics cdnpoli uspoli,[ 0.25405297  0.74594706],positive
69,presidenttrump has stated obama and susanrice are responsible for the chemical attack in syria  he has blurry photos of them doing it,[ 0.02115445  0.97884548],positive
70,rt hardball youre never putting humpty dumpty back together again jnsmall on the country that syria used to be before the war syri,[ 0.89185274  0.10814723],negative
71,lilradishn demand hr1666  russia syria war crimes  sex slave victims of isis many held by russianspeaking f httpstcoslxnf4xycx,[ 0.54849166  0.45150843],negative
72,we continue to fail the people of syria when will we finally stand up for humanrights amp justice as an international human community,[ 0.40217167  0.59782839],positive
73,rt askanshul chemical attack massacre being reported in syria the world must come together to end the horrific evil in syria for the sa,[ 0.89185274  0.10814723],negative
74,rt m_alederies aapnews redlines syria hitler is back his name is assad httpstcopellpztcyh bsharusingchemicalweapons https,[ 0.89185274  0.10814723],negative
75,rt abdussamad_aif whats happening in syria is painful to witness   ya allah make it easy for those suffering amp grant jannah to those w,[ 0.89185274  0.10814723],negative
76,ladyulofine assads winning why the fuck would he use chemical weapons and give the globalists reason to attack him wise up people syria,[ 0.54849166  0.45150843],negative
77,rt partisangirl if syria still had sarin wouldnt they have used it on isis in palmyra in order to keep the artifacts intact,[ 0.89185274  0.10814723],negative
78,rt sjredmond somehow i dont think that the last words of the people killed in syria were damn you obama time for potus to do his job,[ 0.89185274  0.10814723],negative
79,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
80,rt partisangirl why would the white helmets receive sarin respirator suits only a month before the attack syria doesnt have sarin http,[ 0.89185274  0.10814723],negative
81,rt free_media_hub syria six years of sorrow and loss httpstcoxjhd1qdg34,[ 0.89185274  0.10814723],negative
82,rt preemptivelove were responding to victims of the alleged chemical attack in syria how you can help httpstcos90sxhnigi,[ 0.89185274  0.10814723],negative
83,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
84,"rt loca2733mc j mccain calls 45ssyria policy a disgraceful chapter in us history  

fight 4 freedom syria httpstcoklprpmscdo",[ 0.89185274  0.10814723],negative
85,rt oulosp my article on what does not add up in the idlib chemical weapons attack  httpstcox9vojp9cns syria,[ 0.89185274  0.10814723],negative
86,rt lotteleicht1 syria videoampmap of assads chemical attacks on aleppo late 2016 httpstco8owfv2cnrp  today it was idlib https,[ 0.89185274  0.10814723],negative
87,when will the world wake up and see the genocide of  syria taking place right before your eyes innocent people are being killed,[ 0.40217167  0.59782839],positive
88,in coordination with assad regime hezbollah smuggled huge amounts of chemical weapons from syria amp stored it in httpstcojvot8uobqu,[ 0.39086604  0.60913396],positive
89,rt hardball youre never putting humpty dumpty back together again jnsmall on the country that syria used to be before the war syri,[ 0.89185274  0.10814723],negative
90,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
91,"rt minoulechat5 can you help us by publishing this link to help raise awareness of the suffering in syria

syrie

assadgenocide

 http",[ 0.89185274  0.10814723],negative
92,rt nia4_trump death toll in syria now reportedly over 100 in 2013 the us backed rebels used sarin gas as a falseflag in attempt to,[ 0.89185274  0.10814723],negative
93,exposed false flag chemical attack in syria to disrupt geneva talks kevorkalmassian  syrianaanalysis  httpstcon4vaarpbdb,[ 0.46360108  0.53639895],positive
94,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
95,rt abdussamad_aif whats happening in syria is painful to witness   ya allah make it easy for those suffering amp grant jannah to those w,[ 0.89185274  0.10814723],negative
96,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
97,rt politics_pr syria and trump hypocrisy blaming syrian chemical attack on obama httpstcovhy9nycdcu tcot maga httpstcopaltt,[ 0.89185274  0.10814723],negative
98,rt sjredmond somehow i dont think that the last words of the people killed in syria were damn you obama time for potus to do his job,[ 0.89185274  0.10814723],negative
99,rt drshajulislam after 5 hospitals hit and closed last week this is the future of hospitals in syria  help by donating httpstcol,[ 0.89185274  0.10814723],negative
100,hardballchris this is a set up to keep war going trump amp russia arent going to attack syria theyre going to stop neocon uk war,[ 0.26504993  0.73495007],positive
101,rt free_media_hub syria six years of sorrow and loss httpstcoxjhd1qdg34,[ 0.89185274  0.10814723],negative
102,rt borisjohnson horrific reports of chemical weapons attack in idlib syria incident must be investigated amp perpetrators held to account,[ 0.89185274  0.10814723],negative
103,rt partisangirl why would the white helmets receive sarin respirator suits only a month before the attack syria doesnt have sarin http,[ 0.89185274  0.10814723],negative
104,trump condemns assad for chemical attack in syria on civilians amp obama for not stopping assad sooner  hot air httpstcojvpktgvkyt,[ 0.08062018  0.91937983],positive
105,rt ajenglish how chlorine gas became a weapon in syrias civil war httpstcommuxufpzrr httpstco1vdmdsxsve,[ 0.89185274  0.10814723],negative
106,"rt 4freedominiran idlib khansheikhoun injuries from children after being poisoned with poison gas syria iranoutofsyria _
ht",[ 0.89185274  0.10814723],negative
107,rt reaganbattalion assad is a monster so is putin syria httpstcoew77scsxzv,[ 0.89185274  0.10814723],negative
108,rt maytham956 have you ever seen someone who was exposed to chemical weapons while taking a selfie well it happens only in syria http,[ 0.89185274  0.10814723],negative
109,"rt syrianhnc_en hnc sabra_mohamad we call on the security council to activate par 21 of res 2118 on use of cwa in syria
idlibgasatt",[ 0.89185274  0.10814723],negative
110,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
111,rt free_media_hub support our campaign now in its seventh year  httpstcobfe1nsvcbn syria httpstco3unjvdkbrg,[ 0.89185274  0.10814723],negative
112,rt caterinalopez i cant even stomach whats going on in syria a million prayers for the men women and children over there  https,[ 0.89185274  0.10814723],negative
113,rt caterinalopez i cant even stomach whats going on in syria a million prayers for the men women and children over there  https,[ 0.89185274  0.10814723],negative
114,rt ct101st my voice may be quiet in a world of noise stop killing your own people syria httpstcoaajloe0ehj,[ 0.89185274  0.10814723],negative
115,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
116,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
117,rt free_media_hub syria six years of sorrow and loss httpstcoxjhd1qdg34,[ 0.89185274  0.10814723],negative
118,rt aj these children cant breathe aftermath of a suspected chemical attack in syria its the third one in days  httpstcovjsclyw,[ 0.89185274  0.10814723],negative
119,look like he asking the reason that  why being am i killed unsc syria khansheikhoun idlib iranoutofsyria httpstcoabhdkxulay,[ 0.54849166  0.45150843],negative
120,have you guys seen that video of the gassing victims in syria who are we if america is to be great america has to step in it has to,[ 0.26504993  0.73495007],positive
121,rt rizviuzair does netanyahu feel shocked and outraged when gaza is attacked with white phosphorous syria gasattack idlib chemicalat,[ 0.89185274  0.10814723],negative
122,rt partisangirl why would the white helmets receive sarin respirator suits only a month before the attack syria doesnt have sarin http,[ 0.89185274  0.10814723],negative
123,"rt alexmunter_ heartbreaking news of kids killed in syria makes these drawings by syrian child refugees in ottawa so poignant
https",[ 0.89185274  0.10814723],negative
124,starting with toppling criminal assad amp liberating syria from all kinds of invasion amp winning the freedom amp dignity for its prowess people,[ 0.36721578  0.63278425],positive
125,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
126,rt bencdp instead of getting your panties in a twist over pepsi how about you put that energy in condemning the violence in syria fo,[ 0.89185274  0.10814723],negative
127,rt thearabsource oped something is not adding up with the idlib chemical weapons attack httpstcoalxv3abwqv syria,[ 0.89185274  0.10814723],negative
128,"rt free_media_hub assad to the hague 
petition click to add your name  now httpstcofhgwuyukal  syria idlib httpstcourfmcjcrdx",[ 0.89185274  0.10814723],negative
129,"rt metajane my heart is breaking for those in syria beyond politics beyond blame this is just so wrong 
prayersforsyria
httpstc",[ 0.89185274  0.10814723],negative
130,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
131,rt preemptivelove were responding to victims of the alleged chemical attack in syria how you can help httpstcos90sxhnigi,[ 0.89185274  0.10814723],negative
132,rt tc_basbakan i hope that the un will take an important step concerning chemical weapons in syria and impose a due penalty on its per,[ 0.89185274  0.10814723],negative
133,rt maryamalkhawaja despite horrific crimes committed by syria regime some western politicians talking about assad as part of the soluti,[ 0.89185274  0.10814723],negative
134,rt drshajulislam after 5 hospitals hit and closed last week this is the future of hospitals in syria  help by donating httpstcol,[ 0.89185274  0.10814723],negative
135,can i see less pepsi in my feed and more outrage over this syria httpstcodwniky8d91,[ 0.49760315  0.50239688],positive
136,rt masoud_dalvand khameneii amp assad killing innocent kids in syria all world quiet idlib _ httpstcobvhotzpkkw,[ 0.89185274  0.10814723],negative
137,rt reaganbattalion assad is a monster so is putin syria httpstcoew77scsxzv,[ 0.89185274  0.10814723],negative
138,rt free_media_hub syria six years of sorrow and loss httpstcoxjhd1qdg34,[ 0.89185274  0.10814723],negative
139,what happened in syria today is breaking my heart to pieces i cant get over those images of children dyingso awful  makeitstop,[ 0.40217167  0.59782839],positive
140,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
141,rt rferl france calls for un security council meeting after suspected syria chemical attack httpstcoctz21qhlog httpstco61nhxq,[ 0.89185274  0.10814723],negative
142,rt sakirkhader syria at least 40 civilians killed tens wounded in a heavy regime chemical attack on the rebelheld town of khan sheikh,[ 0.89185274  0.10814723],negative
143,rt zlando everyone is surprised that the un does nothing about syria arabs have rendered the un helpless unless bashing israel get i,[ 0.89185274  0.10814723],negative
144,rt americanluvsong susanriceunmasked syria maga syria benghazi realdonaldtrump potus donaldjtrumpjr sebgorka docmurdock jimchil,[ 0.89185274  0.10814723],negative
145,rt senjohnmccain another vicious chemical attack in syria  how do the syrian people determine their own future while they are being sla,[ 0.89185274  0.10814723],negative
146,rt jamie83107302 just in case you thought drumpf is any different syria httpstcoejynboppsy,[ 0.89185274  0.10814723],negative
147,us made willful decision to create isil exhead of us defense intelligence agency httpstcopudbcerbbc isis isil syria usa proxy,[ 0.25405297  0.74594706],positive
148,"rt alsayar these children cant breathe 
this is the aftermath of a suspectedchemical attack in syria 
_

 httpstcotwjps",[ 0.89185274  0.10814723],negative
149,rt oic_oci oic strongly condemns chemical weapon attack on khanshaykhoun khanshaikhoun in idlib province syria called for ending the,[ 0.89185274  0.10814723],negative
150,rt partisangirl orientnews some of the children in the chemical weapons attack appear to have been bludgeoned to death syria httpst,[ 0.89185274  0.10814723],negative
151,tcvatandasi16 worldonalert what evidences do you want filthy assadsputins insect none in syria has faci httpstcoyuail7f0jm,[ 0.08062018  0.91937983],positive
152,trumps moment of terrible truth in syria httpstco0ume9fwi0x via newyorker,[ 0.08062018  0.91937983],positive
153,"rt soniakatimota what do you think about this mlkstudios kirstymartin19 tanyakasim sdgmasterglass
idlib syria russia israel un",[ 0.89185274  0.10814723],negative
154,have you seen the small bodies being washed off rex  they are covered in deadly chemicals this is on your httpstcofzaawfvauf,[ 0.26504993  0.73495007],positive
155,"rt loca2733mc presssec blames obama on the worst chemical attack on syria its time to impeach incompetent 45 
pray 4 syria https",[ 0.89185274  0.10814723],negative
156,"rt ms_erika74 2013  obama draws red line

2015  assad must go 

2017  trump gets blamed for attack  

syria httpstcos7hsc6axd5",[ 0.89185274  0.10814723],negative
157,rt radiofreetom this revisionist history about obama being shut down by congress in syria is among the worst kinds of bullshit there is,[ 0.89185274  0.10814723],negative
158,rt reaganbattalion assad is a monster so is putin syria httpstcoew77scsxzv,[ 0.89185274  0.10814723],negative
159,rt repkinzinger this is happening in syria as death toll rises chemical attacks are still happening removing assad from power is and,[ 0.89185274  0.10814723],negative
160,"rt mrivanjohnson scotthortonshow antiwarcom 

jonathanturley
textualists amp originalists are again awol in wars on syria yemen http",[ 0.89185274  0.10814723],negative
161,syria is the scar on humanitys face,[ 0.36721578  0.63278425],positive
162,rt oulosp why arent the white helmets wearing gloves if dealing with chemicals in idlib syria httpstcodffjfj1hjx,[ 0.89185274  0.10814723],negative
163,rt freshphunky you are a joke realdonaldtrump  you are just playing putins syria game talk abt weak  you said u will do nothing a,[ 0.89185274  0.10814723],negative
164,look like he asking the reason that  why being am i killed unsc syria khansheikhoun idlib iranoutofsyria  httpstcofirgtidelg,[ 0.54849166  0.45150843],negative
165,"rt ms_erika74 2013  obama draws red line

2015  assad must go 

2017  trump gets blamed for attack  

syria httpstcos7hsc6axd5",[ 0.89185274  0.10814723],negative
166,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
167,rt cafreeland as a mother my heart breaks watching images of children writhing in pain after reported chemicalattack in idlib syria,[ 0.89185274  0.10814723],negative
168,uk column news 24th feb 2017 httpstcob0rmfa3odo vanessa beeley child trafficking syria yemen fakenews,[ 0.25405297  0.74594706],positive
169,syria six years of sorrow and loss httpstcoxjhd1qdg34,[ 0.36721578  0.63278425],positive
170,rt michaelcastner with realdonaldtrump its always somebody elses faultresponsibility trumprussia syria httpstcoeguu5x3sjd,[ 0.89185274  0.10814723],negative
171,snhr a baby victim of syria n regime forces use of chemicalweapons in khansheikhoun on apr 4 snhr httpstcoybeo9cjjue,[ 0.36721578  0.63278425],positive
172,rt maherzain this is outrages syria idlib prayerforsyria httpstcoaps2vhavgs,[ 0.89185274  0.10814723],negative
173,rt gebeilym afp there would be no coverage of nearlyincomprehensible level of human suffering in syria if it werent for local report,[ 0.89185274  0.10814723],negative
174,repmikequigley russia syria war crimes  sex slave victims of isis many held by russianspeaking fighters inc chechens kazakhs uzbeks,[ 0.89185274  0.10814723],negative
175,rt komnewscom turkey preparing for new military operations in syria  kom news  kom news httpstcoey32xxiq6a,[ 0.89185274  0.10814723],negative
176,rt radiofreetom this revisionist history about obama being shut down by congress in syria is among the worst kinds of bullshit there is,[ 0.89185274  0.10814723],negative
177,rt reaganbattalion assad is a monster so is putin syria httpstcoew77scsxzv,[ 0.89185274  0.10814723],negative
178,rt free_media_hub not today kid syria httpstcoe9e3l72t06,[ 0.89185274  0.10814723],negative
179,humanity is just becoming awful all i could think of is this speech by charliechaplin httpstcouifwfw3bx0 syria,[ 0.26504993  0.73495007],positive
180,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
181,rvawonk yes but at least we arent talking about russia or syria or moneylaundering or corruptelections wait httpstcomiidtahspr,[ 0.89185274  0.10814723],negative
182,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
183,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
184,just in case you thought drumpf is any different syria httpstcoejynboppsy,[ 0.81978178  0.18021825],negative
185,rt free_media_hub in war squeezed amongst the bombs and bullets are little bodies syria iraq httpstcoxno7ohx3b5,[ 0.89185274  0.10814723],negative
186,absolutely sickening what a shockingly unfair world we live in httpstcorjjjazf2ki prayforsyria chemicalattack syria,[ 0.37677622  0.62322378],positive
187,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
188,rt meanwhileincana horrific gaschemical attack in syria  how could anyone do this to innocent children assad is a madman httpstc,[ 0.89185274  0.10814723],negative
189,rt jacobinism at first i was like [123] but then i was all [4]  realdonaldtrump  syria syriachemicalattack httpstcoput1ctbnoj,[ 0.89185274  0.10814723],negative
190,rt partisangirl if syria still had sarin wouldnt they have used it on isis in palmyra in order to keep the artifacts intact,[ 0.89185274  0.10814723],negative
191,rt ajenglish ajplus this is how government officials reacted to the suspected chemical attack in syrias idlib httpstcooduvbi7d0s,[ 0.89185274  0.10814723],negative
192,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
193,rt reaganbattalion assad is a monster so is putin syria httpstcoew77scsxzv,[ 0.89185274  0.10814723],negative
194,rt tc_basbakan the regime attacked on women and children with chemical weapons in idlib syria this morning this inhumane atrocity de,[ 0.89185274  0.10814723],negative
195,"2013  obama draws red line

2015  assad must go 

2017  trump gets blamed for attack  

syria httpstcos7hsc6axd5",[ 0.22916847  0.77083153],positive
196,potus  realdonaldtrump       stand       stand       stop mar lago spend on military stop this holocast now now n httpstco6wsfjk0z55,[ 0.02115445  0.97884548],positive
197,you are a joke realdonaldtrump  you are just playing putins syria game talk abt weak  you said u will do no httpstcoxxnpt8twac,[ 0.16818991  0.83181006],positive
198,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
199,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
200,rt ct101st my voice may be quiet in a world of noise stop killing your own people syria httpstcoaajloe0ehj,[ 0.89185274  0.10814723],negative
201,rt mba_althani_ arrived in brussels big day tomorrow as qatar cochairs intl meeting on syria we continue to strive for ceasefire amp,[ 0.89185274  0.10814723],negative
202,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
203,rt davidicke usled coalition killed more syrian civilians than isis or russia in march figures show httpstconpeb7poiw5 syria http,[ 0.89185274  0.10814723],negative
204,"rt sahouraxo there are major holes in the idlib sarin gas attack story 

dont believe the mainstream medias narrative syria faken",[ 0.89185274  0.10814723],negative
205,"rt noiserawker tillerson trumps sos assad can stay

assad gasses civilians including young children

trump obamas fault

syria",[ 0.89185274  0.10814723],negative
206,"rt siemaiqbal the human race at its worst

shame on us all

idlib 

syria 

syriachemicalattack",[ 0.89185274  0.10814723],negative
207,rt partisangirl tomorrow were going to create a media story about a chlorine gas attack later changed to sarin even though syria gov,[ 0.89185274  0.10814723],negative
208,rt eatingmypeaz lccsy whitehelmets_sy via whitehelmets_sy syria idlib 16 photos of victims of cw airstrike on khan sheikhoun 4 ap,[ 0.89185274  0.10814723],negative
209,rt reaganbattalion assad is a monster so is putin syria httpstcoew77scsxzv,[ 0.89185274  0.10814723],negative
210,turtlewoman777 omi_dmd marcnelsonart mr_alhamdo revolutionsyria ajplus shawncarrie syriacivildef httpstco5qvnjhfzyt,[ 0.08062018  0.91937983],positive
